TargetID,Redrock spectype,Redrock z,VI z,VI spectype,vi_combined_flag,vi_diff,VI issue
35185718489778468,GALAXY,0.107,0.1075,GALAXY,4.0,0,--
35185718489778903,QSO,0.304,0.3041,GALAXY,4.0,0,--
35185718489779040,GALAXY,0.107,0.1074,GALAXY,4.0,0,--
35185718489779346,GALAXY,0.27,0.2697,GALAXY,3.5,1,--
35185718489779354,GALAXY,0.276,0.2764,GALAXY,3.0,2,--
35185718489779441,GALAXY,0.268,0.2678,GALAXY,4.0,0,--
35185718489779472,GALAXY,1.527,--,--,0.0,0,S
35185718489779848,GALAXY,0.02,0.0201,GALAXY,4.0,0,--
35185718489779893,GALAXY,0.166,0.1663,GALAXY,4.0,0,--
35185718489780204,GALAXY,0.27,0.2702,GALAXY,2.5,1,--
35185718489780368,GALAXY,0.544,0.5443,GALAXY,4.0,0,--
35185718489780521,GALAXY,0.118,0.1182,GALAXY,3.0,2,--
35185718493970622,GALAXY,0.109,0.1086,--,2.0,0,--
35185718493971013,GALAXY,0.628,0.6285,GALAXY,3.5,1,--
35185718493971192,GALAXY,0.145,0.1455,GALAXY,4.0,0,--
35185718493971339,GALAXY,0.209,0.2091,GALAXY,4.0,0,--
35185718493971522,GALAXY,0.157,0.1571,GALAXY,4.0,0,--
35185718493972030,GALAXY,0.381,0.3815,GALAXY,4.0,0,--
35185718493972376,GALAXY,0.302,0.3024,GALAXY,4.0,0,--
35185718493972745,GALAXY,0.09,0.0903,GALAXY,4.0,0,--
35185718493973048,GALAXY,0.081,0.0813,GALAXY,4.0,0,--
35185718493973126,GALAXY,0.4,0.1556,GALAXY,2.0,0,RC
35185718493973231,GALAXY,0.486,0.4862,GALAXY,3.0,0,--
35185718493973375,GALAXY,0.272,0.2717,GALAXY,3.5,1,--
35185718493973797,GALAXY,0.249,0.2494,GALAXY,3.5,1,--
35185718493973866,GALAXY,0.327,0.3268,GALAXY,4.0,0,--
35185718493974290,GALAXY,0.447,0.4474,GALAXY,3.5,1,--
35185718493974558,GALAXY,0.313,0.3128,GALAXY,4.0,0,--
35185718493974836,GALAXY,0.188,0.1879,GALAXY,4.0,0,--
35185718493974936,GALAXY,0.341,0.3410,GALAXY,4.0,0,--
35185718493974972,GALAXY,0.219,0.2194,GALAXY,3.5,1,--
35185718493975228,GALAXY,0.481,0.4806,GALAXY,3.0,0,--
35185718498164849,GALAXY,0.28300000000000003,0.2828,GALAXY,4.0,0,--
35185718498165088,GALAXY,0.313,0.3128,GALAXY,4.0,0,--
35185718498165512,GALAXY,0.17800000000000002,0.1785,GALAXY,4.0,0,--
35185718498165836,GALAXY,0.146,0.1464,GALAXY,4.0,0,--
35185718498165841,GALAXY,0.17800000000000002,0.1780,GALAXY,4.0,0,--
35185718498166253,GALAXY,0.23,0.2301,GALAXY,4.0,0,--
35185718498166315,GALAXY,0.266,0.2657,GALAXY,4.0,0,--
35185718498166634,GALAXY,0.378,0.3775,GALAXY,4.0,0,--
35185718498166917,GALAXY,0.284,0.2837,GALAXY,2.5,1,--
35185718498167296,GALAXY,0.383,0.3831,GALAXY,3.5,1,--
35185718498167591,GALAXY,0.251,0.2505,GALAXY,3.5,1,--
35185718498167947,GALAXY,0.251,0.2510,GALAXY,4.0,0,--
35185718498168166,GALAXY,1.369,--,--,0.0,0,S
35185718498168521,GALAXY,0.27,0.2695,GALAXY,4.0,0,--
35185718498168594,GALAXY,0.119,0.1190,GALAXY,4.0,0,--
35185718498168906,GALAXY,0.23,0.2298,GALAXY,4.0,0,--
35185718498168943,GALAXY,0.489,0.4888,GALAXY,3.5,1,--
35185718502359335,GALAXY,1.253,--,--,0.0,0,S
35185718502360018,GALAXY,1.6740000000000002,--,--,0.0,0,S
35185718502360067,GALAXY,0.119,0.1188,GALAXY,4.0,0,--
35185718502360568,GALAXY,0.48,0.4795,GALAXY,4.0,0,--
35185718502360687,GALAXY,0.02,0.0204,GALAXY,4.0,0,--
35185718502360776,GALAXY,0.313,0.3134,GALAXY,4.0,0,--
35185718502360959,GALAXY,0.248,0.2482,GALAXY,4.0,0,--
35185718502361003,GALAXY,0.207,0.2071,GALAXY,4.0,0,--
35185718502361202,GALAXY,0.328,0.3278,GALAXY,4.0,0,--
35185718502361682,GALAXY,0.108,0.1076,GALAXY,4.0,0,--
35185718502361887,GALAXY,0.208,0.2076,GALAXY,4.0,0,--
35185718502361903,GALAXY,0.17800000000000002,0.1782,GALAXY,4.0,0,--
35185718502361980,GALAXY,0.087,0.0872,GALAXY,4.0,0,--
35185718502362160,GALAXY,0.254,--,--,0.0,0,S
35185718502362542,GALAXY,0.267,0.2666,GALAXY,4.0,0,--
35185718502362649,GALAXY,0.132,0.1316,GALAXY,4.0,0,--
35185718502362724,GALAXY,0.265,0.2653,GALAXY,4.0,0,--
35185718502362815,GALAXY,0.267,0.2665,GALAXY,4.0,0,--
35185718502362905,GALAXY,0.251,0.2506,GALAXY,4.0,0,--
35185718502363118,GALAXY,0.268,0.2675,GALAXY,4.0,0,--
35185718502363142,GALAXY,0.118,0.1182,GALAXY,4.0,0,--
35185718502363167,GALAXY,0.25,0.2498,GALAXY,4.0,0,--
35185718502363404,GALAXY,0.266,0.2659,GALAXY,4.0,0,--
35185718506553564,GALAXY,0.845,0.8452,GALAXY,3.0,0,--
35185718506554631,GALAXY,0.108,0.1081,GALAXY,4.0,0,--
35185718506554998,GALAXY,0.44,--,--,2.0,0,R
35185718506555481,QSO,0.378,0.3775,QSO,4.0,0,--
35185718506555547,GALAXY,0.202,0.2018,GALAXY,4.0,0,--
35185718506555690,GALAXY,0.889,--,--,1.0,0,RC
35185718506555717,GALAXY,0.201,0.2015,GALAXY,4.0,0,--
35185718506556395,GALAXY,0.2,0.2004,GALAXY,4.0,0,--
35185718506556486,GALAXY,0.18,0.1804,GALAXY,4.0,0,--
35185718506556494,GALAXY,0.099,0.0985,GALAXY,4.0,0,--
35185718506556673,GALAXY,0.284,0.2838,GALAXY,4.0,0,--
35185718506556694,GALAXY,0.399,0.3994,GALAXY,4.0,0,--
35185718506556923,GALAXY,0.316,0.3165,GALAXY,4.0,0,--
35185718506557061,GALAXY,0.08199999999999999,0.0818,GALAXY,4.0,0,--
35185718506557087,GALAXY,0.266,0.2659,GALAXY,4.0,0,--
35185718506558064,GALAXY,0.362,0.3618,GALAXY,4.0,0,--
35185718506558074,GALAXY,0.201,0.2005,GALAXY,4.0,0,--
35185718506558122,GALAXY,0.324,0.3241,GALAXY,4.0,0,--
35185718510751121,GALAXY,0.329,0.3289,GALAXY,4.0,0,--
35185718510751760,GALAXY,0.449,0.4488,GALAXY,4.0,0,--
35185724525381103,GALAXY,0.287,0.2866,GALAXY,4.0,0,--
35185724525381806,GALAXY,0.252,0.2523,GALAXY,4.0,0,--
35185724525382305,GALAXY,0.052000000000000005,0.0522,GALAXY,4.0,0,--
35185724525383884,GALAXY,0.08900000000000001,0.0894,GALAXY,4.0,0,--
35185724529574210,GALAXY,1.475,1.4750,GALAXY,1.0,0,--
35185724529574285,QSO,1.136,0.3315,GALAXY,2.0,0,RC
35185724529574341,GALAXY,0.022,0.0216,GALAXY,4.0,0,--
35185724529574460,GALAXY,0.21600000000000005,0.2156,GALAXY,4.0,0,--
35185724529574484,GALAXY,0.269,0.2688,GALAXY,4.0,0,--
35185724529574788,GALAXY,0.659,--,--,0.0,0,S
35185724529574968,GALAXY,0.487,0.4872,GALAXY,4.0,0,--
35185724529575181,GALAXY,0.266,0.2663,GALAXY,4.0,0,--
35185724529575184,GALAXY,0.188,0.1878,GALAXY,4.0,0,--
35185724529575461,GALAXY,0.7040000000000001,0.7044,GALAXY,4.0,0,--
35185724529575509,GALAXY,0.327,0.3274,GALAXY,4.0,0,--
35185724529576133,GALAXY,0.382,0.3816,GALAXY,4.0,0,--
35185724529576256,GALAXY,0.108,0.1079,GALAXY,4.0,0,--
35185724529576292,GALAXY,0.324,0.3240,GALAXY,4.0,0,--
